Category,Phrase
Common expressions,See you tonight.
Common expressions,She's pretty.
Common expressions,Sorry to bother you.
Common expressions,Stop!
Common expressions,Take a chance.
Common expressions,Take it outside.
Common expressions,Tell me.
Common expressions,Thanks for everything.
Common expressions,Thanks for your help.
Common expressions,Thank you.
Common expressions,Thank you miss.
Common expressions,Thank you sir.
Common expressions,Thank you very much.
Common expressions,That looks great.
Common expressions,That's alright.
Common expressions,That's enough.
Common expressions,That's fine.
Common expressions,That's it.
Common expressions,That smells bad.
Common expressions,That's not fair.
Common expressions,That's not right.
Common expressions,That's right.
Common expressions,That's too bad.
Common expressions,That's too many.
Common expressions,That's too much.
Common expressions,The book is under the table.
Common expressions,They'll be right back.
Common expressions,They're the same.
Common expressions,They're very busy.
Common expressions,This doesn't work.
Common expressions,This is very difficult.
Common expressions,This is very important.
Common expressions,Try it.
Common expressions,"Very good, thanks."
Common expressions,We like it very much.
Common expressions,Would you take a message please?
Common expressions,"Yes, really."
Common expressions,You're beautiful.
Common expressions,You're very nice.
Common expressions,You're very smart.
Common expressions,Your things are all here.
Greetings,Certainly!
Greetings,Good afternoon.
Greetings,Good evening sir.
Greetings,Good Luck.
Greetings,Good morning.
Greetings,Great.
Greetings,Happy Birthday.
Greetings,Have a good trip.
Greetings,Hello.
Greetings,Nice to meet you
Greetings,Please call me.
"Travel, directions",About 300 kilometers.
"Travel, directions",A one way ticket.
"Travel, directions",Are you going to help her?
"Travel, directions",A round trip ticket.
"Travel, directions",At what time?
"Travel, directions",Can I make an appointment for next Wednesday?
"Travel, directions",Can you repeat that please?
"Travel, directions",Does this road go to New York?
"Travel, directions",Do you have enough money?
"Travel, directions",Do you know how to cook?
"Travel, directions",Do you know what this says?
"Travel, directions",Do you want me to come and pick you up?
"Travel, directions",Follow me.
"Travel, directions",From here to there.
"Travel, directions",Go straight ahead.
"Travel, directions",Have you arrived?
"Travel, directions",Have you been to Boston?
"Travel, directions",How do I get there?
"Travel, directions",How do I get to Daniel Street?
"Travel, directions",How do I get to the American Embassy?
"Travel, directions",How long does it take by car?
"Travel, directions",How long does it take to get to Georgia?
"Travel, directions",How long is the flight?
"Travel, directions",How was the movie?
"Travel, directions",I'd like to make a phone call.
"Travel, directions",I'd like to make a reservation.
"Travel, directions",I have a question I want to ask you./ I want to ask you a question.
"Travel, directions",I'll take that one also.
"Travel, directions",I'm coming right now.
"Travel, directions",I'm going home in four days.
"Travel, directions",I'm leaving Tomorrow.
"Travel, directions",I'm looking for the post office.
"Travel, directions",Is this pen yours?
"Travel, directions",I wish I had one.
"Travel, directions",One ticket to New York please.
"Travel, directions",One way or round trip?
"Travel, directions",Please speak slower.
"Travel, directions",Please take me to the airport.
"Travel, directions",That way.
"Travel, directions",The plane departs at 5:30P.
"Travel, directions",They arrived yesterday.
"Travel, directions",Turn around.
"Travel, directions",Turn left.
"Travel, directions",Turn right.
"Travel, directions",What time are you going to the bus station?
"Travel, directions",When did this happen?
"Travel, directions",When did you arrive in Boston?
"Travel, directions",When does he arrive?
"Travel, directions",When does it arrive?
"Travel, directions",When does the bank open?
"Travel, directions",When does the bus leave?
"Travel, directions",When do we arrive?
"Travel, directions",When do we leave?
"Travel, directions",Where can I mail this?
"Travel, directions",Where is she from?
"Travel, directions",Where is the bathroom?
"Travel, directions",Why not?
"Travel, directions",Will you remind me?
Numbers and money,11 dollars.
Numbers and money,52 cents.
Numbers and money,A few.
Numbers and money,A little.
Numbers and money,Call the police.
Numbers and money,Did your wife like California?
Numbers and money,Do you have any coffee?
Numbers and money,Do you have anything cheaper?
Numbers and money,Do you take credit cards?
Numbers and money,How are you paying?
Numbers and money,How many people are there in New York?
Numbers and money,How much are these earrings?
Numbers and money,How much does it cost per day?
Numbers and money,How much does this cost?
Numbers and money,How much do I owe you?
Numbers and money,How much is it to go to Miami?
Numbers and money,How much money do you make?
Numbers and money,I'd like to eat at 5th street restaurant.
Numbers and money,I don't have a girlfriend.
Numbers and money,I don't have any money.
Numbers and money,I have a reservation.
Numbers and money,I'll have the same thing.
Numbers and money,I'll pay for dinner.
Numbers and money,I'll pay for the tickets.
Numbers and money,I'm 26 years old.
Numbers and money,I need to practice my English.
Numbers and money,Isn't it?
Numbers and money,Is that ok?
Numbers and money,Is there any mail for me?
Numbers and money,It's 11:30pm.
Numbers and money,It's is a quarter past nine.
Numbers and money,Please come in.
Numbers and money,"Sorry, we don't accept credit cards."
Numbers and money,"Sorry, we only accept Cash."
Numbers and money,That restaurant is not expensive.
Numbers and money,That's too expensive.
Numbers and money,There are many people here.
Numbers and money,They charge 26 dollars per day.
Numbers and money,What's the exchange rate for dollars?
Numbers and money,What's the phone number?
Numbers and money,Where can I buy tickets?
Numbers and money,Where would you like to meet?
Numbers and money,Which one is better?
Location,Across from the post office.
Location,At 3 o'clock.
Location,Be quiet.
Location,Can you recommend a good restaurant?
Location,Here it is.
Location,Here you are.
Location,He's in the kitchen.
Location,He studies at Boston University.
Location,How far is it?
Location,How far is it to Chicago?
Location,How many miles is it to Pennsylvania?
Location,I'd like a single room.
Location,I like to watch TV.
Location,It's delicious!
Location,It's half past 11.
Location,It's less than 5 dollars.
Location,It's more than 5 dollars.
Location,It's near the Supermarket.
Location,it's not suppose to rain today.
Location,It's ok.
Location,It's on 7th street.
Location,It's really hot.
Location,It's suppose to rain tomorrow.
Location,I was going to the library.
Location,I was in the library.
Location,Let's go.
Location,Maybe.
Location,More than 200 miles.
Location,My house is close to the bank.
Location,Near the bank.
Location,On the left.
Location,On the right.
Location,On the second floor.
Location,Outside the hotel.
Location,Over here.
Location,Over there.
Location,The book is behind the table.
Location,The book is in front of the table.
Location,The book is near the table.
Location,The book is next to the table.
Location,The book is on top of the table.
Location,There are some books on the table.
Location,There's a book under the table.
Location,We're from California.
Location,What's the address?
Location,Where are you going?
Location,Where is it?
Location,Where would you like to go?
Location,Who won?
Phone/internet/mail,Can I see your passport please?
Phone/internet/mail,Can I take a message?
Phone/internet/mail,Can I try it on?
Phone/internet/mail,Can we sit over there?
Phone/internet/mail,Did you come with your family?
Phone/internet/mail,Do you think it's possible?
Phone/internet/mail,Here's my number.
Phone/internet/mail,He's not in right now.
Phone/internet/mail,"Hi, is Mrs. Smith there, please?"
Phone/internet/mail,"I'd like some water too, please."
Phone/internet/mail,"I'd like to buy a bottle of water, please."
Phone/internet/mail,I'd like to buy something.
Phone/internet/mail,I'd like to go to the store.
Phone/internet/mail,I'd like to rent a car.
Phone/internet/mail,I'd like to send a fax.
Phone/internet/mail,I'd like to send this to America.
Phone/internet/mail,I'd like to speak to Mr. Smith please.
Phone/internet/mail,"I have three children, two girls and one boy."
Phone/internet/mail,I'll be right back.
Phone/internet/mail,I'll call back later.
Phone/internet/mail,I'll call you on Friday.
Phone/internet/mail,I'll teach you.
Phone/internet/mail,I'm ok.
Phone/internet/mail,I need some tissues.
Phone/internet/mail,Is there an English speaking guide?
Phone/internet/mail,I want to give you a gift.
Phone/internet/mail,Male or female?
Phone/internet/mail,My cell phone doesn't have good reception.
Phone/internet/mail,My cell phone doesn't work.
Phone/internet/mail,Please take off your shoes.
Phone/internet/mail,"Sorry, I think I have the wrong number."
Phone/internet/mail,What is the area code?
Phone/internet/mail,What's the name of the company you work for?
Phone/internet/mail,What's wrong?
Phone/internet/mail,What's your address?
Phone/internet/mail,Where can I find a hospital?
Phone/internet/mail,Where's the closest restaurant?
Phone/internet/mail,Where's the pharmacy?
Phone/internet/mail,Who are you?
Phone/internet/mail,Who is that?
Phone/internet/mail,Who would you like to speak to?
Phone/internet/mail,Will you take me home?
Phone/internet/mail,Would you like water or milk?
Time and dates,11 days ago.
Time and dates,2 hours.
Time and dates,All day.
Time and dates,A long time ago.
Time and dates,Are they coming this evening?
Time and dates,Are you comfortable?
Time and dates,Are your children with you?
Time and dates,As soon as possible.
Time and dates,At 3 o'clock in the afternoon.
Time and dates,At 5th street.
Time and dates,At 7 o'clock at night. (evening)?
Time and dates,At 7 o'clock in the morning.
Time and dates,At what time did it happen?
Time and dates,Can I help you?
Time and dates,Do you have a swimming pool?
Time and dates,Do you have this in size 11?
Time and dates,Do you think you'll be back by 11:30?
Time and dates,Everyday I get up at 6AM.
Time and dates,Every week.
Time and dates,Expiration date.
Time and dates,Have you been waiting long?
Time and dates,He'll be back in 20 minutes.
Time and dates,His family is coming tomorrow.
Time and dates,How about Saturday?
Time and dates,How long are you going to stay?
Time and dates,How long are you going to stay in California?
Time and dates,How long will it take?
Time and dates,How much altogether?
Time and dates,How much will it cost?
Time and dates,I don't have enough money.
Time and dates,I'm getting ready to go out.
Time and dates,I'm just looking. (Shopping)
Time and dates,I'm worried too.
Time and dates,It'll be cold this evening.
Time and dates,It rained very hard today.
Time and dates,It's 17 dollars.
Time and dates,It's 6AM.
Time and dates,It's 8:45.
Time and dates,It's a quarter to 7.
Time and dates,It's going to snow today.
Time and dates,It's here.
Time and dates,It's there.
Time and dates,I've already seen it.
Time and dates,John is going on vacation tomorrow.
Time and dates,My birthday is August 27th.
Time and dates,Now or later?
Time and dates,October 22nd.
Time and dates,She wants to know when you're coming.
Time and dates,"Sometimes I go to sleep at 11PM, sometimes at 11:30PM."
Time and dates,There's plenty of time.
Time and dates,The whole day.
Time and dates,We're late.
Time and dates,What day are they coming over?
Time and dates,What day of the week is it?
Time and dates,What is today's date?
Time and dates,What's your religion?
Time and dates,What time are they arriving?
Time and dates,What time did you get up?
Time and dates,What time did you go to sleep?
Time and dates,What time did you wake up?
Time and dates,What time does it start?
Time and dates,What time do you think you'll arrive?
Time and dates,What time is it?
Time and dates,When are they coming?
Time and dates,When are you coming back?
Time and dates,When are you going to pick up your friend?
Time and dates,When are you leaving?
Time and dates,When are you moving?
Time and dates,When is the next bus to Philidalphia?
Time and dates,When is your birthday?
Time and dates,"When I went to the store, they didn't have any apples."
Time and dates,When was the last time you talked to your mother?
Time and dates,When will he be back?
Time and dates,When will it be ready?
Time and dates,Where are you going to go?
Accommodations,Are you busy?
Accommodations,Can we have some more bread please?
Accommodations,Do you have any money?
Accommodations,For how many nights?
Accommodations,How long will you be staying?
Accommodations,I'd like a map of the city.
Accommodations,I'd like a non-smoking room.
Accommodations,I'd like a room.
Accommodations,I'd like a room with two beds please.
Accommodations,I need a doctor.
Accommodations,Is there a nightclub in town?
Accommodations,Is there a restaurant in the hotel?
Accommodations,Is there a store near here?
Accommodations,"Sorry, we don't have any vacancies."
Accommodations,Take me to the Marriott Hotel.
Accommodations,What's the charge per night? (Hotel)
Accommodations,What time is check out?
Accommodations,Where is the airport?
Accommodations,Where's the mail box?
Dining,Are you here alone?
Dining,Can I bring my friend?
Dining,Can I have a receipt please?
Dining,Can it be cheaper?
Dining,Can we have a menu please.
Dining,Can you hold this for me?
Dining,Do you have any children?
Dining,Do you know how much it costs?
Dining,Have you eaten at that restaurant?
Dining,Have you eaten yet?
Dining,Have you ever had Potato soup?
Dining,He likes juice but he doesn't like milk
Dining,Here is your salad.
Dining,Here's your order.
Dining,How does it taste?
Dining,How many people? (restaurant)
Dining,I agree.
Dining,I'd like a table near the window.
Dining,I'd like to call the United States.
Dining,I haven't been there.
Dining,I haven't finished eating.
Dining,I like it.
Dining,I'll give you a call.
Dining,I'll have a cup of tea please.
Dining,I'll have a glass of water please.
Dining,I'm from America.
Dining,I'm going to bed.
Dining,I'm here on business.
Dining,I'm sorry.
Dining,I only have 5 dollars.
Dining,I think I need to see a doctor.
Dining,It's August 25th.
Dining,I understand.
Dining,June 3rd.
Dining,The food was delicious.
Dining,There are some apples in the refrigerator.
Dining,There's a restaurant near here.
Dining,"There's a restaurant over there, but I don't think it's very good."
Dining,Waiter!
Dining,Waitress!
Dining,We can eat Italian or Chinese food.
Dining,We'll have two glasses of water please.
Dining,What are you going to have?
Dining,What do you recommend?
Dining,What's your email address?
Dining,What would you like to drink?
Dining,What would you like to eat?
Dining,Where is an ATM?
Dining,Where is there a doctor who speaks English?
Dining,Which one?
Dining,Would you ask him to come here?
Dining,Would you like a glass of water?
Dining,Would you like coffee or tea?
Dining,Would you like something to drink?
Dining,Would you like some water?
Dining,Would you like some wine?
Dining,Would you like to go for a walk?
Dining,Would you like to watch TV?
Making friends,Are you American?
Making friends,Are you coming this evening?
Making friends,Are you free tonight?
Making friends,Are you going to take a plane or train?
Making friends,Are you hungry?
Making friends,Are you sure?
Making friends,Are you working Tomorrow?
Making friends,Business is good.
Making friends,Cheers!
Making friends,Did it snow yesterday?
Making friends,Did you get my email?
Making friends,Did you take your medicine?
Making friends,Do you feel better?
Making friends,Do you go to Florida often?
Making friends,Do you have another one?
Making friends,Do you know where there's a store that sells towels?
Making friends,Do you like it here?
Making friends,Do you like the book?
Making friends,Do you need anything?
Making friends,Do you play any sports?
Making friends,Do you sell medicine? (store)
Making friends,Do you study English?
Making friends,Do you want to come with me?
Making friends,Do you want to go with me?
Making friends,Excuse me.
Making friends,Give me a call.
Making friends,Has your brother been to California?
Making friends,Have they met her yet?
Making friends,Have you done this before?
Making friends,How long have you been here?
Making friends,How long have you been in America?
Making friends,How long have you lived here?
Making friends,How many children do you have?
Making friends,How many languages do you speak?
Making friends,How many people do you have in your family?
Making friends,How much would you like?
Making friends,How old are you?
Making friends,I bought a shirt yesterday.
Making friends,I don't feel well.
Making friends,I have pain in my arm.
Making friends,I have to wash my clothes.
Making friends,I have two sisters.
Making friends,I'll tell him you called.
Making friends,I'm 32.
Making friends,I'm 6'2".
Making friends,I'm allergic to seafood.
Making friends,I'm American.
Making friends,I'm a size 8.
Making friends,"I'm fine, and you?"
Making friends,I'm not afraid.
Making friends,I'm sick.
Making friends,I remember.
Making friends,I speak a little English.
Making friends,Is your house like this one?
Making friends,Is your husband also from Boston?
Making friends,It's not very expensive.
Making friends,I've been there.
Making friends,Let's share.
Making friends,My daughter is here.
Making friends,My father has been there.
Making friends,My father is a lawyer.
Making friends,My grandmother passed away last year.
Making friends,My name is John Smith.
Making friends,My son.
Making friends,My son studies computers.
Making friends,"No, I'm American."
Making friends,"No, this is the first time."
Making friends,Our children are in America.
Making friends,She's an expert.
Making friends,She's older than me.
Making friends,That car is similar to my car.
Making friends,This is Mrs. Smith.
Making friends,This is my mother.
Making friends,This is the first time I've been here.
Making friends,We have two boys and one girl.
Making friends,What are you going to do tonight?
Making friends,What are your hobbies?
Making friends,What do you study?
Making friends,What do you want to do?
Making friends,What school did you go to?
Making friends,What's your favorite movie?
Making friends,What's your last name?
Making friends,What's your name?
Making friends,Where are the t-shirts?
Making friends,Where did you go?
Making friends,Where did you learn English?
Making friends,Where did you work before you worked here?
Making friends,Where do you live?
Making friends,Where were you?
Making friends,Who sent this letter?
Making friends,Would you like to buy this?
Making friends,Your children are very well behaved.
Making friends,Your daughter.
Making friends,You're smarter than him.
Making friends,You speak English very well.
Entertainment,Are there any concerts?
Entertainment,Do you want to go to the movies?
Entertainment,Have you seen this movie?
Entertainment,He said you like to watch movies.
Entertainment,How tall are you?
Entertainment,Is the bank far?
Entertainment,Is there a movie theater nearby?
Entertainment,What do people usually do in the summer in Los Angeles?
Entertainment,What kind of music do you like?
Entertainment,What's your favorite food?
Entertainment,What time does the movie start?
Entertainment,Who was your teacher?
Entertainment,Would you like to have dinner with me?
Entertainment,Would you like to rent a movie?
Shopping,Can I have a glass of water please?
Shopping,Can I use your phone?
Shopping,Do you have any vacancies?
Shopping,Do you have the number for a taxi?
Shopping,Do you know her?
Shopping,Do you know where she is?
Shopping,Do you play basketball?
Shopping,"Fill it up, please. (gas station)"
Shopping,He needs some new clothes.
Shopping,How much is that?
Shopping,How much is this?
Shopping,I believe you.
Shopping,I'd like the number for the Hilton Hotel please.
Shopping,I'd like to buy a phone card please.
Shopping,I'd like to go home.
Shopping,I'd like to go shopping.
Shopping,If you like it I can buy more.
Shopping,I'm a beginner.
Shopping,I'm full.
Shopping,I'm just kidding.
Shopping,I'm single.
Shopping,I speak two languages.
Shopping,I thought he said something else.
Shopping,It's not too far.
Shopping,I usually drink coffee at breakfast.
Shopping,"Sorry, we don't have any."
Shopping,The books are expensive.
Shopping,Try it on.
Shopping,What do you want to buy?
Shopping,What size?
Shopping,What time does the store open?
Shopping,When does the plane arrive?
Shopping,Where are you?
Shopping,Would you like something to eat?
Communication difficulties,Am I pronouncing it correctly?
Communication difficulties,Can you do me a favor?
Communication difficulties,Can you help me?
Communication difficulties,Can you please say that again?
Communication difficulties,Can you show me?
Communication difficulties,Can you throw that away for me?
Communication difficulties,Does anyone here speak English?
Communication difficulties,Don't do that.
Communication difficulties,Do you believe that?
Communication difficulties,Do you have a pencil?
Communication difficulties,Do you smoke?
Communication difficulties,Do you speak English?
Communication difficulties,"Excuse me, what did you say?"
Communication difficulties,Forget it.
Communication difficulties,How do you pronounce that?
Communication difficulties,How do you say it in English?
Communication difficulties,How do you spell it?
Communication difficulties,How do you spell the word "Seattle?"
Communication difficulties,I can swim.
Communication difficulties,I can't hear you clearly.
Communication difficulties,I don't mind.
Communication difficulties,I don't speak English very well.
Communication difficulties,I don't think so.
Communication difficulties,I don't understand what your saying.
Communication difficulties,Is there air conditioning in the room?
Communication difficulties,I think you have too many clothes.
Communication difficulties,I trust you.
Communication difficulties,I understand now.
Communication difficulties,Let's meet in front of the hotel.
Communication difficulties,Please sit down.
Communication difficulties,Please speak English.
Communication difficulties,Please speak more slowly.
Communication difficulties,"Sorry, I didn't hear clearly."
Communication difficulties,That means friend.
Communication difficulties,That's wrong.
Communication difficulties,Try to say it.
Communication difficulties,What does this mean?
Communication difficulties,What does this say?
Communication difficulties,What does this word mean?
Communication difficulties,What's the exchange rate?
Communication difficulties,Whose book is that?
Communication difficulties,Why aren't you going?
Communication difficulties,Why are you laughing?
Communication difficulties,Why did you do that?
Emergency and health,Are you allergic to anything?
Emergency and health,Are you ready?
Emergency and health,Call me.
Emergency and health,Did you send me flowers?
Emergency and health,Do you sell batteries?
Emergency and health,I don't care.
Emergency and health,I give up.
Emergency and health,I got in an accident.
Emergency and health,I have a cold.
Emergency and health,I have one in my car.
Emergency and health,I made this cake.
Emergency and health,I'm a teacher.
Emergency and health,I'm self-employed.
Emergency and health,I still have a lot to do.
Emergency and health,I still haven't decided.
Emergency and health,It depends on the weather.
Emergency and health,It's very cold today.
Emergency and health,My luggage is missing.
Emergency and health,My stomach hurts.
Emergency and health,My throat is sore.
Emergency and health,My watch has been stolen.
Emergency and health,Take this medicine.
Emergency and health,The accident happened at the intersection.
Emergency and health,There has been a car accident.
Emergency and health,Where can I exchange U.S. dollars?
Emergency and health,Where do you work?
Emergency and health,Where's the nearest hospital?
Emergency and health,Where's the post office?
General questions,And you?
General questions,Anything else?
General questions,Are they the same?
General questions,Are you afraid?
General questions,Are you going to attend their wedding?
General questions,Are you married?
General questions,Are you okay?
General questions,Are you sick?
General questions,Behind the bank.
General questions,Can I borrow some money?
General questions,Can I have the bill please?
General questions,Can you call back later?
General questions,Can you call me back later?
General questions,Can you carry this for me?
General questions,Can you fix this?
General questions,Can you give me an example?
General questions,Can you speak louder please?
General questions,Can you swim?
General questions,Does he like the school?
General questions,Do you accept U.S. Dollars?
General questions,Do you have a girlfriend?
General questions,Do you have an appointment?
General questions,Do you have a problem?
General questions,Do you hear that?
General questions,Do you know how to get to the Marriott Hotel?
General questions,Do you know what this means?
General questions,Do you know where I can get a taxi?
General questions,Do you know where my glasses are?
General questions,Do you like your co-workers?
General questions,Do you need anything else?
General questions,Do you understand?
General questions,Give me the pen.
General questions,How do you know?
General questions,How is she?
General questions,How long is it?
General questions,How many?
General questions,How much is it?
General questions,I have a lot of things to do.
General questions,In 30 minutes.
General questions,Is anyone else coming?
General questions,Is everything ok?
General questions,Is it cold outside?
General questions,Is it far from here?
General questions,Is it hot?
General questions,Is it raining?
General questions,Is there anything cheaper?
General questions,Is your son here?
General questions,Should I wait?
General questions,The big one or the small one?
General questions,The cars are American.
General questions,Were there any problems?
General questions,Were you at the library last night?
General questions,What are you doing?
General questions,What are you thinking about?
General questions,What are you two talking about?
General questions,What did you do last night?
General questions,What did you do yesterday?
General questions,What did you think?
General questions,What do they study?
General questions,What do you have?
General questions,What do you think?
General questions,What happened?
General questions,What is it?
General questions,What is that?
General questions,What should I wear?
General questions,What's in it?
General questions,What's the temperature?
General questions,What's this?
General questions,What's up?
General questions,Where are you from?
General questions,Where can I rent a car?
General questions,Where did it happen?
General questions,Where did you learn it?
General questions,Where is he?
General questions,Where is he from?
General questions,"Which is better, the spaghetti or chicken salad?"
General questions,Which one do you want?
General questions,Which one is cheaper?
General questions,Which one is the best?
General questions,Which school does he go to?
General questions,Who are they?
General questions,Who are you looking for?
General questions,Who is it? (Inquiring about who is on the phone)
General questions,Who's calling?
General questions,Who's that man over there?
General questions,Who taught you that?
General questions,Why did you say that?
General questions,Will you pass me the salt please?
General questions,Will you put this in the car for me?
General questions,Would you ask him to call me back please?
General questions,Yes.
General questions,You have a very nice car.
General questions,You look like my sister.
Work,6 dollars per hour.
Work,Are you waiting for someone?
Work,Are you working today?
Work,Bring me my shirt please.
Work,Do you like to watch TV?
Work,Do you like your boss?
Work,Have you finished studying?
Work,He's an Engineer.
Work,He's very hard working.
Work,He works at a computer company in New York.
Work,How long have you worked here?
Work,How many hours a week do you work?
Work,How much money do you have?
Work,How's the weather?
Work,How was the trip?
Work,I forget.
Work,I'm good.
Work,I'm ready.
Work,I still have a lot of things to buy.
Work,I've seen it.
Work,What does he do for work?
Work,What does your father do for work?
Work,What do you do for work?
Work,What do your parents do for work?
Work,What's the matter?
Work,What time do you go to work everyday?
Work,When do you arrive in the U.S.?
Work,When do you get off work?
Work,Where did you put it?
Work,Where does it hurt?
Work,Where do you want to go?
Weather,Come here.
Weather,Does it often snow in the winter in Massachusetts?
Weather,Do you think it'll rain today?
Weather,Do you think it's going to rain tomorrow?
Weather,How's business?
Weather,Is it close?
Weather,Is it possible?
Weather,Is it ready?
Weather,It costs 20 dollars per hour.
Weather,It hurts here.
Weather,It's far from here.
Weather,It's going to be hot today.
Weather,It's north of here.
Weather,It's over there.
Weather,It's raining.
Weather,It's too late.
Weather,It's very important.
Weather,It will arrive shortly.
Weather,The roads are slippery.
Weather,What's the room rate?
Weather,What will the weather be like tomorrow?
Miscellaneous,Amy is John's girlfriend.
Miscellaneous,He always does that for me.
Miscellaneous,He broke the window.
Miscellaneous,He doesn't look like a nurse.
Miscellaneous,He has a nice car.
Miscellaneous,He never gives me anything.
Miscellaneous,He said this is a nice place.
Miscellaneous,He's an American.
Miscellaneous,He's a very good student.
Miscellaneous,He's faster than me.
Miscellaneous,He thinks we don't want to go.
Miscellaneous,His room is very small.
Miscellaneous,His son.
Miscellaneous,How are your parents?
Miscellaneous,How do I use this?
Miscellaneous,I came with my family.
Miscellaneous,I'd like to exchange this for Dollars.
Miscellaneous,I'd like to use the internet
Miscellaneous,I don't have time right now.
Miscellaneous,I don't know.
Miscellaneous,I have money.
Miscellaneous,I haven't had lunch yet.
Miscellaneous,I have to go to the post office.
Miscellaneous,I like Italian food.
Miscellaneous,I live in California.
Miscellaneous,I'll talk to you soon.
Miscellaneous,I made a mistake.
Miscellaneous,I'm bored.
Miscellaneous,I'm going to America next year.
Miscellaneous,I'm going to go have dinner.
Miscellaneous,I'm tired.
Miscellaneous,"I'm very well, thank you."
Miscellaneous,I need another key.
Miscellaneous,I need this to get there by tomorrow.
Miscellaneous,I need to go now.
Miscellaneous,Is it suppose to rain tomorrow?
Miscellaneous,Is John there please? (phone call)
Miscellaneous,Is this a safe area?
Miscellaneous,Is this Mr. Smith?
Miscellaneous,Is this the bus to New York?
Miscellaneous,Is this your book?
Miscellaneous,I still have to brush my teeth and take a shower.
Miscellaneous,Is your father home?
Miscellaneous,I think so.
Miscellaneous,I think those shoes are very good looking.
Miscellaneous,It's very windy.
Miscellaneous,It takes 2 hours by car.
Miscellaneous,I've never done that.
Miscellaneous,I've worked there for five years.
Miscellaneous,I want to buy something.
Miscellaneous,I want to contact our embassy.
Miscellaneous,I want to send this package to the United States.
Miscellaneous,I want to show you something.
Miscellaneous,"I went to the supermarket, and then to the computer store."
Miscellaneous,My car isn't working.
Miscellaneous,Nobody is helping us.
Miscellaneous,Nobody is there right now.
Miscellaneous,One like that.
Miscellaneous,Open the door.
Miscellaneous,Open the window.
Miscellaneous,Pick up your clothes.
Miscellaneous,Please.
Miscellaneous,Please count this for me.
Miscellaneous,Please tell her John called.
Miscellaneous,Please tell me.
Miscellaneous,Please wait for me.
Miscellaneous,She's going with me tomorrow.
Miscellaneous,Some books.
Miscellaneous,Someone does that for me.
Miscellaneous,Someone is coming.
Miscellaneous,"Sorry, I don't have a pencil."
Miscellaneous,Start the car.
Miscellaneous,Take me downtown.
Miscellaneous,Tell him that I need to talk to him.
Miscellaneous,That car over there is mine.
Miscellaneous,That looks old.
Miscellaneous,That's a good school.
Miscellaneous,That's her book.
Miscellaneous,That's not enough.
Miscellaneous,The car is fixed.
Miscellaneous,These books are ours.
Miscellaneous,The TV is broken.
