Category,English,Turkish
Common expressions,This doesn't work.,Bu işe yaramıyor.
Common expressions,This is very difficult.,Bu çok zor.
Common expressions,This is very important.,Bu çok önemli.
Common expressions,Try it.,Dene.
Common expressions,"Very good, thanks.",Çok iyi teşekkürler.
Common expressions,We like it very much.,Biz bunu çok beğendik.
Common expressions,Would you take a message please?,Lütfen mesaj atar mısınız?
Common expressions,"Yes, really.",Evet gerçekten.
Common expressions,You're beautiful.,Güzelsin.
Common expressions,You're very nice.,Çok iyisiniz.
Common expressions,You're very smart.,Sen çok zekisin.
Common expressions,Your things are all here.,Eşyalarınızın hepsi burada.
Greetings,Certainly!,Kesinlikle!
Greetings,Good afternoon.,Tünaydın.
Greetings,Good evening sir.,İyi akşamlar bayım.
Greetings,Good Luck.,İyi şanlar.
Greetings,Good morning.,Günaydın.
Greetings,Great.,Harika.
Greetings,Happy Birthday.,Doğum günün kutlu olsun.
Greetings,Have a good trip.,İyi yolculuklar.
Greetings,Hello.,Merhaba.
Greetings,Nice to meet you,Tanıştığıma memnun oldum
Greetings,Please call me.,Lütfen beni ara.
"Travel, directions",About 300 kilometers.,Yaklaşık 300 kilometre.
"Travel, directions",A one way ticket.,Gidiş bileti.
"Travel, directions",Are you going to help her?,Ona yardım edecek misin?
"Travel, directions",A round trip ticket.,Bir gidiş.
"Travel, directions",At what time?,Ne zaman?
"Travel, directions",Can I make an appointment for next Wednesday?,Önümüzdeki çarşamba için randevu alabilir miyim?
"Travel, directions",Can you repeat that please?,Tekrar eder misin lütfen?
"Travel, directions",Does this road go to New York?,Bu yol New York'a gidiyor mu?
"Travel, directions",Do you have enough money?,Yeterince paran var mı?
"Travel, directions",Do you know how to cook?,Yemek yapmayı biliyor musun?
"Travel, directions",Do you know what this says?,Bu ne diyor biliyor musun?
"Travel, directions",Do you want me to come and pick you up?,Gelip seni almamı ister misin?
"Travel, directions",Follow me.,Beni takip et.
"Travel, directions",From here to there.,Buradan oraya.
"Travel, directions",Go straight ahead.,Dümdüz git.
"Travel, directions",Have you arrived?,Vardın mı?
"Travel, directions",Have you been to Boston?,Boston'a gittin mi?
"Travel, directions",How do I get there?,Oraya nasıl giderim?
"Travel, directions",How do I get to Daniel Street?,Daniel Sokağı'na nasıl gidilir?
"Travel, directions",How do I get to the American Embassy?,Amerikan Elçiliğine nasıl gidilir?
"Travel, directions",How long does it take by car?,Arabayla ne kadar sürüyor?
"Travel, directions",How long does it take to get to Georgia?,Gürcistan'a ulaşmak ne kadar sürer?
"Travel, directions",How long is the flight?,Uçuş ne kadar sürüyor?
"Travel, directions",How was the movie?,Film nasıldı?
"Travel, directions",I'd like to make a phone call.,Bir telefon görüşmesi yapmak istiyorum.
"Travel, directions",I'd like to make a reservation.,Rezervasyon yaptırmak istiyorum.
"Travel, directions",I have a question I want to ask you./ I want to ask you a question.,Sana sormak istediğim bir soru var./ Sana bir soru sormak istiyorum.
"Travel, directions",I'll take that one also.,Bunu da alacağım.
"Travel, directions",I'm coming right now.,Hemen geliyorum.
"Travel, directions",I'm going home in four days.,Dört gün sonra eve gidiyorum.
"Travel, directions",I'm leaving Tomorrow.,Ben yarın gidiyorum.
"Travel, directions",I'm looking for the post office.,Postaneyi arıyorum.
"Travel, directions",Is this pen yours?,Bu kalem senin mi?
"Travel, directions",I wish I had one.,Keşke benim de olsaydı.
"Travel, directions",One ticket to New York please.,New York'a bir bilet lütfen.
"Travel, directions",One way or round trip?,"Tek yön mü, gidiş-dönüş mü?"
"Travel, directions",Please speak slower.,Lütfen daha yavaş konuş.
"Travel, directions",Please take me to the airport.,Lütfen beni havaalanına götürün.
"Travel, directions",That way.,Bu taraftan.
"Travel, directions",The plane departs at 5:30P.,Uçak 17.30'da kalkıyor.
"Travel, directions",They arrived yesterday.,Dün geldiler.
"Travel, directions",Turn around.,Arkanı dön.
"Travel, directions",Turn left.,Sola çevirin.
"Travel, directions",Turn right.,Sağa dönün.
"Travel, directions",What time are you going to the bus station?,Otobüs terminaline saat kaçta gidiyorsun?
"Travel, directions",When did this happen?,Bu ne zaman oldu?
"Travel, directions",When did you arrive in Boston?,Boston'a ne zaman geldin?
"Travel, directions",When does he arrive?,Ne zaman gelecek?
"Travel, directions",When does it arrive?,Ne zaman varır?
"Travel, directions",When does the bank open?,Banka ne zaman açılıyor?
"Travel, directions",When does the bus leave?,Otobüs ne zaman kalkıyor?
"Travel, directions",When do we arrive?,Ne zaman varıyoruz?
"Travel, directions",When do we leave?,Ne zaman ayrılıyoruz?
"Travel, directions",Where can I mail this?,Bunu nereye postalayabilirim?
"Travel, directions",Where is she from?,O nereli?
"Travel, directions",Where is the bathroom?,Banyo nerede?
"Travel, directions",Why not?,Neden?
"Travel, directions",Will you remind me?,Bana hatırlatacak mısın?
Numbers and money,11 dollars.,11 dolar.
Numbers and money,52 cents.,52 sent.
Numbers and money,A few.,Bir kaç.
Numbers and money,A little.,Biraz.
Numbers and money,Call the police.,Polis çağırın.
Numbers and money,Did your wife like California?,Karınız Kaliforniya'yı sevdi mi?
Numbers and money,Do you have any coffee?,Kahven var mı?
Numbers and money,Do you have anything cheaper?,Daha ucuz bir şeyiniz var mı?
Numbers and money,Do you take credit cards?,Kredi kartı kabul ediyor musunuz?
Numbers and money,How are you paying?,Nasıl ödüyorsun?
Numbers and money,How many people are there in New York?,New York'ta kaç kişi var?
Numbers and money,How much are these earrings?,Bu küpeler ne kadar?
Numbers and money,How much does it cost per day?,Günlük maliyeti ne kadar?
Numbers and money,How much does this cost?,Bu kaça mal oluyor?
Numbers and money,How much do I owe you?,Sana ne kadar borçluyum?
Numbers and money,How much is it to go to Miami?,Miami'ye gitmek ne kadar?
Numbers and money,How much money do you make?,Ne kadar para kazanıyorsun?
Numbers and money,I'd like to eat at 5th street restaurant.,5. cadde restoranında yemek yemek isterim.
Numbers and money,I don't have a girlfriend.,Kız arkadaşım yok.
Numbers and money,I don't have any money.,Hiç param yok.
Numbers and money,I have a reservation.,Rezervasyonum var.
Numbers and money,I'll have the same thing.,Aynısından alacağım.
Numbers and money,I'll pay for dinner.,Akşam yemeğini ödeyeceğim.
Numbers and money,I'll pay for the tickets.,Biletlerin parasını ödeyeceğim.
Numbers and money,I'm 26 years old.,26 yaşındayım.
Numbers and money,I need to practice my English.,İngilizcemi geliştirmem gerekiyor.
Numbers and money,Isn't it?,Değil mi?
Numbers and money,Is that ok?,Bu iyi mi?
Numbers and money,Is there any mail for me?,Bana gelen bir gönderi var mı?
Numbers and money,It's 11:30pm.,Saat 23:30.
Numbers and money,It's is a quarter past nine.,Saat dokuzu çeyrek geçiyor.
Numbers and money,Please come in.,Lütfen içeri gel.
Numbers and money,"Sorry, we don't accept credit cards.","Üzgünüz, kredi kartlarını kabul etmiyoruz."
Numbers and money,"Sorry, we only accept Cash.","Üzgünüz, yalnızca Nakit kabul ediyoruz."
Numbers and money,That restaurant is not expensive.,O restoran pahalı değil.
Numbers and money,That's too expensive.,Bu çok pahalı.
Numbers and money,There are many people here.,Burada birçok insan var.
Numbers and money,They charge 26 dollars per day.,Günlük 26 dolar alıyorlar.
Numbers and money,What's the exchange rate for dollars?,Dolar kuru ne kadar?
Numbers and money,What's the phone number?,Telefon numarası nedir?
Numbers and money,Where can I buy tickets?,Biletleri nereden satın alabilirim?
Numbers and money,Where would you like to meet?,Nerede buluşmak istersin?
Numbers and money,Which one is better?,Hangisi daha iyi?
Location,Across from the post office.,Postane karşısında.
Location,At 3 o'clock.,Saat 3'te.
Location,Be quiet.,Sessiz ol.
Location,Can you recommend a good restaurant?,İyi bir restoran tavsiye edebilir misiniz?
Location,Here it is.,İşte burada.
Location,Here you are.,İşte buradasın.
Location,He's in the kitchen.,O mutfakta.
Location,He studies at Boston University.,Boston Üniversitesi'nde okuyor.
Location,How far is it?,Ne kadar uzakta?
Location,How far is it to Chicago?,Chicago'ya ne kadar uzakta?
Location,How many miles is it to Pennsylvania?,Pensilvanya'ya kaç mil var?
Location,I'd like a single room.,Tek kişilik bir oda rica ediyorum.
Location,I like to watch TV.,Televizyon izlemeyi severim.
Location,It's delicious!,Lezzetli!
Location,It's half past 11.,Saat 11 buçuk.
Location,It's less than 5 dollars.,5 dolardan az.
Location,It's more than 5 dollars.,5 dolardan fazla.
Location,It's near the Supermarket.,Süpermarkete yakındır.
Location,it's not suppose to rain today.,bugün yağmur yağmayacağı düşünülüyor.
Location,It's ok.,Önemli değil.
Location,It's on 7th street.,7. caddededir.
Location,It's really hot.,Gerçekten çok sıcak.
Location,It's suppose to rain tomorrow.,Yarın yağmur yağması bekleniyor.
Location,I was going to the library.,Kütüphaneye gidiyordum.
Location,I was in the library.,Kütüphanedeydim.
Location,Let's go.,Hadi gidelim.
Location,Maybe.,Belki.
Location,More than 200 miles.,200 milden fazla.
Location,My house is close to the bank.,Evim bankaya yakın.
Location,Near the bank.,Bankanın yakınında.
Location,On the left.,Soldaki.
Location,On the right.,Sağdaki.
Location,On the second floor.,İkinci katta.
Location,Outside the hotel.,Otelin dışında.
Location,Over here.,Buraya.
Location,Over there.,O tarafta.
Location,The book is behind the table.,Kitap masanın arkasındadır.
Location,The book is in front of the table.,Kitap masanın önündedir.
Location,The book is near the table.,Kitap masanın yanında.
Location,The book is next to the table.,Kitap masanın yanındadır.
Location,The book is on top of the table.,Kitap masanın üstünde.
Location,There are some books on the table.,Masanın üzerinde birkaç kitap var.
Location,There's a book under the table.,Masanın altında bir kitap var.
Location,We're from California.,Kaliforniya'lıyız.
Location,What's the address?,Adres nedir?
Location,Where are you going?,Nereye gidiyorsun?
Location,Where is it?,Nerede?
Location,Where would you like to go?,Nereye gitmek istersin?
Location,Who won?,Kim kazandı?
Phone/internet/mail,Can I see your passport please?,Pasaportunuzu görebilir miyim?
Phone/internet/mail,Can I take a message?,Bir mesaj alabilir miyim?
Phone/internet/mail,Can I try it on?,Bunu üzerimde deneyebilir miyim?
Phone/internet/mail,Can we sit over there?,Oraya oturabilir miyiz?
Phone/internet/mail,Did you come with your family?,Ailenle mi geldin?
Phone/internet/mail,Do you think it's possible?,Bunun mümkün olduğunu düşünüyor musun?
Phone/internet/mail,Here's my number.,Numaram burada.
Phone/internet/mail,He's not in right now.,Şu anda içeride değil.
Phone/internet/mail,"Hi, is Mrs. Smith there, please?","Merhaba, Bayan Smith orada mı lütfen?"
Phone/internet/mail,"I'd like some water too, please.",Ben de biraz su istiyorum lütfen.
Phone/internet/mail,"I'd like to buy a bottle of water, please.",Bir şişe su almak istiyorum lütfen.
Phone/internet/mail,I'd like to buy something.,Bir şey satın almak istiyorum.
Phone/internet/mail,I'd like to go to the store.,Mağazaya gitmek isterim.
Phone/internet/mail,I'd like to rent a car.,Araba kiralamak istiyorum.
Phone/internet/mail,I'd like to send a fax.,Bir faks göndermek istiyorum.
Phone/internet/mail,I'd like to send this to America.,Bunu Amerika'ya göndermek istiyorum.
Phone/internet/mail,I'd like to speak to Mr. Smith please.,Bay Smith'le konuşmak istiyorum lütfen.
Phone/internet/mail,"I have three children, two girls and one boy.","Üç çocuğum var, ikisi kız, biri erkek."
Phone/internet/mail,I'll be right back.,Hemen döneceğim.
Phone/internet/mail,I'll call back later.,Sonra arayacağım.
Phone/internet/mail,I'll call you on Friday.,Seni cuma günü arayacağım.
Phone/internet/mail,I'll teach you.,Sana öğreteceğim.
Phone/internet/mail,I'm ok.,Ben iyiyim.
Phone/internet/mail,I need some tissues.,Biraz mendile ihtiyacım var.
Phone/internet/mail,Is there an English speaking guide?,İngilizce konuşan bir rehber var mı?
Phone/internet/mail,I want to give you a gift.,Sana bir hediye vermek istiyorum.
Phone/internet/mail,Male or female?,Erkek veya kadın?
Phone/internet/mail,My cell phone doesn't have good reception.,Cep telefonumun çekim gücü iyi değil.
Phone/internet/mail,My cell phone doesn't work.,Cep telefonum çalışmıyor.
Phone/internet/mail,Please take off your shoes.,Ayakkabılarınızı çıkartın.
Phone/internet/mail,"Sorry, I think I have the wrong number.","Üzgünüm, sanırım yanlış numarayı verdim."
Phone/internet/mail,What is the area code?,Alan kodu nedir?
Phone/internet/mail,What's the name of the company you work for?,Çalıştığınız şirketin adı nedir?
Phone/internet/mail,What's wrong?,Sorun nedir?
Phone/internet/mail,What's your address?,Adresin nedir?
Phone/internet/mail,Where can I find a hospital?,Hastaneyi nerede bulabilirim?
Phone/internet/mail,Where's the closest restaurant?,En yakın restoran nerede?
Phone/internet/mail,Where's the pharmacy?,Eczane nerede?
Phone/internet/mail,Who are you?,Sen kimsin?
Phone/internet/mail,Who is that?,Kim bu?
Phone/internet/mail,Who would you like to speak to?,Kiminle konuşmak istiyorsunuz?
Phone/internet/mail,Will you take me home?,Beni eve bırakacak mısın?
Phone/internet/mail,Would you like water or milk?,Su mu yoksa süt mü istersiniz?
Time and dates,11 days ago.,11 gün önce.
Time and dates,2 hours.,2 saat.
Time and dates,All day.,Tüm gün.
Time and dates,A long time ago.,Uzun zaman önce.
Time and dates,Are they coming this evening?,Bu akşam gelecekler mi?
Time and dates,Are you comfortable?,Rahat mısın?
Time and dates,Are your children with you?,Çocuklarınız yanınızda mı?
Time and dates,As soon as possible.,Mümkün olan en kısa sürede.
Time and dates,At 3 o'clock in the afternoon.,Öğleden sonra saat 3 te.
Time and dates,At 5th street.,5. caddede.
Time and dates,At 7 o'clock at night. (evening)?,Gece saat 7'de. (akşam)?
Time and dates,At 7 o'clock in the morning.,Sabah saat 7'de.
Time and dates,At what time did it happen?,Bu olay ne zaman oldu?
Time and dates,Can I help you?,Yardımcı olabilir miyim?
Time and dates,Do you have a swimming pool?,Yüzme havuzunuz var mı?
Time and dates,Do you have this in size 11?,Bunun 11 bedeni var mı?
Time and dates,Do you think you'll be back by 11:30?,11:30'a kadar döneceğini mi sanıyorsun?
Time and dates,Everyday I get up at 6AM.,Her gün sabah 6'da kalkıyorum.
Time and dates,Every week.,Her hafta.
Time and dates,Expiration date.,Son kullanma tarihi.
Time and dates,Have you been waiting long?,Çok bekledin mi?
Time and dates,He'll be back in 20 minutes.,20 dakika sonra geri dönecek.
Time and dates,His family is coming tomorrow.,Ailesi yarın geliyor.
Time and dates,How about Saturday?,Cumartesiye ne dersin?
Time and dates,How long are you going to stay?,Ne kadar kalacaksın?
Time and dates,How long are you going to stay in California?,Kaliforniya'da ne kadar kalacaksın?
Time and dates,How long will it take?,Ne kadar sürer?
Time and dates,How much altogether?,Tamamı ne kadar?
Time and dates,How much will it cost?,Kaça mal olacak?
Time and dates,I don't have enough money.,Yeterli param yok.
Time and dates,I'm getting ready to go out.,Dışarı çıkmaya hazırlanıyorum.
Time and dates,I'm just looking. (Shopping),Ben sadece bakıyorum. (Alışveriş)
Time and dates,I'm worried too.,Ben de endişeleniyorum.
Time and dates,It'll be cold this evening.,Bu akşam hava soğuk olacak.
Time and dates,It rained very hard today.,Bugün çok şiddetli yağmur yağdı.
Time and dates,It's 17 dollars.,17 dolar.
Time and dates,It's 6AM.,Saat sabahın 6'sı.
Time and dates,It's 8:45.,Saat 8:45.
Time and dates,It's a quarter to 7.,Saat 7'ye çeyrek var.
Time and dates,It's going to snow today.,Bugün kar yağacak.
Time and dates,It's here.,Burada.
Time and dates,It's there.,Orada.
Time and dates,I've already seen it.,Bunu zaten gördüm.
Time and dates,John is going on vacation tomorrow.,John yarın tatile gidiyor.
Time and dates,My birthday is August 27th.,Doğum günüm 27 Ağustos.
Time and dates,Now or later?,Şimdi ya da sonra?
Time and dates,October 22nd.,22 Ekim.
Time and dates,She wants to know when you're coming.,Ne zaman geleceğini bilmek istiyor.
Time and dates,"Sometimes I go to sleep at 11PM, sometimes at 11:30PM.","Bazen 23.00'te, bazen 23.30'da uyuyorum."
Time and dates,There's plenty of time.,Bol zaman var.
Time and dates,The whole day.,Bütün gün.
Time and dates,We're late.,Biz geç kaldık.
Time and dates,What day are they coming over?,Hangi gün gelecekler?
Time and dates,What day of the week is it?,Haftanın hangi günü?
Time and dates,What is today's date?,Bugünün tarihi ne?
Time and dates,What's your religion?,Dinin ne?
Time and dates,What time are they arriving?,Saat kaçta geliyorlar?
Time and dates,What time did you get up?,Ne zaman kalktın?
Time and dates,What time did you go to sleep?,Saat kaçta uyumaya gittin?
Time and dates,What time did you wake up?,Saat kaçta kalktın?
Time and dates,What time does it start?,Ne zaman başlar?
Time and dates,What time do you think you'll arrive?,Ne zaman gelmeyi düşünüyorsun?
Time and dates,What time is it?,Saat kaç?
Time and dates,When are they coming?,Ne zaman geliyorlar?
Time and dates,When are you coming back?,Ne zaman geri döneceksin?
Time and dates,When are you going to pick up your friend?,Arkadaşını ne zaman alacaksın?
Time and dates,When are you leaving?,Ne zaman ayrılıyorsun?
Time and dates,When are you moving?,Ne zaman taşınıyorsun?
Time and dates,When is the next bus to Philidalphia?,Philidalphia'ya bir sonraki otobüs ne zaman kalkacak?
Time and dates,When is your birthday?,Doğum günün ne zaman?
Time and dates,"When I went to the store, they didn't have any apples.",Markete gittiğimde ellerinde elma yoktu.
Time and dates,When was the last time you talked to your mother?,Annenle en son ne zaman konuştun?
Time and dates,When will he be back?,O ne zaman geri dönecek?
Time and dates,When will it be ready?,Ne zaman hazır olacak?
Time and dates,Where are you going to go?,Nereye gideceksin?
Accommodations,Are you busy?,Meşgul müsün?
Accommodations,Can we have some more bread please?,Biraz daha ekmek alabilir miyiz lütfen?
Accommodations,Do you have any money?,Hiç paran var mı?
Accommodations,For how many nights?,Kaç gece için?
Accommodations,How long will you be staying?,Ne kadar kalacaksınız?
Accommodations,I'd like a map of the city.,Şehrin haritasını istiyorum.
Accommodations,I'd like a non-smoking room.,Sigara içilmeyen bir oda istiyorum.
Accommodations,I'd like a room.,Bir oda istiyorum.
Accommodations,I'd like a room with two beds please.,İki yataklı bir oda istiyorum lütfen.
Accommodations,I need a doctor.,Bir doktora ihtiyacım var.
Accommodations,Is there a nightclub in town?,Şehirde gece kulübü var mı?
Accommodations,Is there a restaurant in the hotel?,Otelde restoran var mı?
Accommodations,Is there a store near here?,Buraya yakın bir mağaza var mı?
Accommodations,"Sorry, we don't have any vacancies.","Üzgünüz, boş yerimiz yok."
Accommodations,Take me to the Marriott Hotel.,Beni Marriott Oteli'ne götür.
Accommodations,What's the charge per night? (Hotel),Gecelik ücret ne kadar? (Otel)
Accommodations,What time is check out?,Kontrol Ne zaman?
Accommodations,Where is the airport?,Hava Limanı nerede?
Accommodations,Where's the mail box?,Posta kutusu nerede?
Dining,Are you here alone?,Burada yalnız mısın?
Dining,Can I bring my friend?,Arkadaşımı getirebilir miyim?
Dining,Can I have a receipt please?,Makbuz alabilir miyim lütfen?
Dining,Can it be cheaper?,Daha ucuz olabilir mi?
Dining,Can we have a menu please.,Bir menü alabilir miyiz lütfen?
Dining,Can you hold this for me?,Bunu benim için tutar mısın?
Dining,Do you have any children?,Hiç çocuğun var mı?
Dining,Do you know how much it costs?,Ne kadara mal olduğunu biliyor musun?
Dining,Have you eaten at that restaurant?,O restoranda yemek yedin mi?
Dining,Have you eaten yet?,Daha yemedin mi?
Dining,Have you ever had Potato soup?,Hiç patates çorbası içtiniz mi?
Dining,He likes juice but he doesn't like milk,Meyve suyunu seviyor ama sütü sevmiyor
Dining,Here is your salad.,İşte salatanız.
Dining,Here's your order.,İşte siparişiniz.
Dining,How does it taste?,Tadı nasıl?
Dining,How many people? (restaurant),Kaç insan? (restoran)
Dining,I agree.,Kabul ediyorum.
Dining,I'd like a table near the window.,Pencerenin yanında bir masa istiyorum.
Dining,I'd like to call the United States.,Amerika Birleşik Devletleri'ni aramak istiyorum.
Dining,I haven't been there.,Ben oraya gitmedim.
Dining,I haven't finished eating.,Yemeğimi bitirmedim.
Dining,I like it.,Beğendim.
Dining,I'll give you a call.,Seni arayacağım.
Dining,I'll have a cup of tea please.,Bir fincan çay alayım lütfen.
Dining,I'll have a glass of water please.,Bir bardak su alayım lütfen.
Dining,I'm from America.,Amerikalıyım.
Dining,I'm going to bed.,Yatağa gidiyorum.
Dining,I'm here on business.,İş için buradayım.
Dining,I'm sorry.,Üzgünüm.
Dining,I only have 5 dollars.,Sadece 5 dolarım var.
Dining,I think I need to see a doctor.,Sanırım bir doktora görünmem gerekiyor.
Dining,It's August 25th.,25 Ağustos.
Dining,I understand.,Anladım.
Dining,June 3rd.,3 Haziran.
Dining,The food was delicious.,Yemek lezzetliydi.
Dining,There are some apples in the refrigerator.,Buzdolabında birkaç elma var.
Dining,There's a restaurant near here.,Buraya yakın bir restoran var.
Dining,"There's a restaurant over there, but I don't think it's very good.",Orada bir restoran var ama pek iyi olduğunu düşünmüyorum.
Dining,Waiter!,Garson!
Dining,Waitress!,Bayan garson!
Dining,We can eat Italian or Chinese food.,İtalyan ya da Çin yemeği yiyebiliriz.
Dining,We'll have two glasses of water please.,İki bardak su alalım lütfen.
Dining,What are you going to have?,Ne Sahibi olacaksın?
Dining,What do you recommend?,Ne tavsiye edersiniz?
Dining,What's your email address?,E?
Dining,What would you like to drink?,Ne içmek istersiniz?
Dining,What would you like to eat?,Ne yemek istersin?
Dining,Where is an ATM?,ATM nerede?
